dataset_id,dataset_name,sample_code,village,latitude,longitude,sampling_depth_cm,ph,electrical_conductivity_dS_m,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,sampling_year,source
H1,PADERU_82_SAMPLES,S54,Lagisipalli,18.058,82.666,0-30,6.5,0.18,147,19,25,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S55,Gabbangi,18.120,82.657,0-30,6.7,0.21,107,48,51,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S56,Aluguru,17.995,82.840,0-30,7.5,0.28,137,53,363,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S57,Kakaraputtu,18.081,82.668,0-30,6.1,0.07,66,53,58,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S58,Kakaraputtu,18.062,82.636,0-30,5.8,0.10,76,24,36,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S59,Gonduvuru,18.083,82.577,0-30,6.4,0.11,106,19,163,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S60,Malakapalem,17.998,82.735,0-30,5.0,0.16,117,29,261,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S61,Malakapalem,17.965,82.734,0-30,5.7,0.18,97,14,363,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S62,Iradapalli,18.080,82.608,0-30,6.4,0.24,107,14,224,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S63,Jeelugupadu,17.961,82.807,0-30,6.2,0.11,86,33,80,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S64,Lolangipadu,18.011,82.790,0-30,6.7,0.46,97,38,363,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S65,Dallapalli,18.050,82.743,0-30,6.4,0.10,97,5,44,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S66,Buruguchetru,18.060,82.741,0-30,5.7,0.13,91,14,33,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S67,Minumuluru,18.043,82.703,0-30,6.4,0.53,107,24,185,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S68,Vanthadapalli,18.027,82.704,0-30,6.4,0.55,107,19,91,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S69,Boradaputtu,18.124,82.545,0-30,5.0,0.50,81,24,113,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S70,Bongajangi,18.112,82.536,0-30,5.6,0.50,81,38,69,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S71,Nadimvidi,18.142,82.727,0-30,6.1,0.10,107,19,80,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S72,Nadimvidi,18.145,82.730,0-30,6.3,0.10,91,53,58,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S73,Mariyavalasa,18.126,82.733,0-30,7.5,0.20,66,48,51,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S74,Sirasapali,18.092,82.741,0-30,5.6,0.10,132,96,54,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S75,Vantalamamidi,17.977,82.737,0-30,5.8,0.20,76,20,25,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S76,Peddapulam,18.041,82.826,0-30,6.4,0.10,106,20,163,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S77,Kotnapalle,18.168,82.732,0-30,7.5,0.40,81,34,144,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S78,Gondurnmdidi,18.004,82.872,0-30,6.3,0.10,86,33,80,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S79,Madugulla,17.906,82.813,0-30,6.4,0.20,97,53,58,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S80,Bongajangi,18.112,82.526,0-30,7.5,0.40,81,34,144,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S81,Paderu,18.072,82.669,0-30,6.3,0.57,117,19,145,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S82,Paderu,18.075,82.675,0-30,6.1,0.54,117,14,189,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
