dataset_id,dataset_name,mandal,site_no,latitude,longitude,stage,date_start,date_end,depth_top_cm,depth_bottom_cm,ph,electrical_conductivity_dS_m,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,organic_carbon_g_kg,source
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Anakapalle,3,17.4646,83.0048,after,2018-11-06,2018-11-11,0,15,6.9,0.27,187.5,24.2,254.1,2.02,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Anakapalle,4,17.6276,82.9695,before,2018-05-07,2018-05-13,0,15,6.59,0.33,181.5,20.5,243.4,2.19,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Anakapalle,4,17.6276,82.9695,during,2018-08-11,2018-08-16,0,15,6.59,0.33,185.2,22.4,248.2,2.19,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Anakapalle,4,17.6276,82.9695,after,2018-11-06,2018-11-11,0,15,6.59,0.31,180.1,20.5,243.9,2.14,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Anakapalle,5,17.6235,82.9693,before,2018-05-07,2018-05-13,0,15,7.83,0.33,192.7,28.1,294.3,2.37,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Anakapalle,5,17.6235,82.9693,during,2018-08-11,2018-08-16,0,15,7.83,0.33,196.4,28.4,304.5,2.37,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Anakapalle,5,17.6235,82.9693,after,2018-11-06,2018-11-11,0,15,7.83,0.32,191.3,26.1,294.7,2.3,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Nathavaram,1,17.562,82.4887,before,2018-05-07,2018-05-13,0,15,6.8,0.24,214.2,22.2,198.5,2.16,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Nathavaram,1,17.562,82.4887,during,2018-08-11,2018-08-16,0,15,6.79,0.23,210.6,22.7,196.9,2.16,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Nathavaram,1,17.562,82.4887,after,2018-11-06,2018-11-11,0,15,6.76,0.22,202.3,20.8,192.1,2.14,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Nathavaram,2,17.5646,82.491,before,2018-05-07,2018-05-13,0,15,6.3,0.29,216.0,27.3,224.6,2.06,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Nathavaram,2,17.5646,82.491,during,2018-08-11,2018-08-16,0,15,6.25,0.28,212.8,27.9,226.4,2.05,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Nathavaram,2,17.5646,82.491,after,2018-11-06,2018-11-11,0,15,6.24,0.27,208.2,25.3,221.5,2.01,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Nathavaram,3,17.56906,82.4847,before,2018-05-07,2018-05-13,0,15,6.9,0.36,215.1,28.9,268.3,2.27,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Nathavaram,3,17.56906,82.4847,during,2018-08-11,2018-08-16,0,15,6.9,0.35,206.9,29.5,269.4,2.25,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Nathavaram,3,17.56906,82.4847,after,2018-11-06,2018-11-11,0,15,6.86,0.32,200.8,26.9,252.7,2.19,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Nathavaram,4,17.569033,82.4825,before,2018-05-07,2018-05-13,0,15,7.2,0.26,228.3,41.5,316.8,2.39,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Nathavaram,4,17.569033,82.4825,during,2018-08-11,2018-08-16,0,15,7.17,0.24,226.2,42.3,319.2,2.38,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Nathavaram,4,17.569033,82.4825,after,2018-11-06,2018-11-11,0,15,7.14,0.23,220.9,37.3,309.2,2.32,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Nathavaram,5,17.5634,82.4792,before,2018-05-07,2018-05-13,0,15,7.1,0.23,223.8,37.6,304.2,2.34,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Nathavaram,5,17.5634,82.4792,during,2018-08-11,2018-08-16,0,15,7.06,0.2,219.4,39.8,302,2.33,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Nathavaram,5,17.5634,82.4792,after,2018-11-06,2018-11-11,0,15,7.05,0.19,212.1,39.1,294.2,2.3,Patra et al. (2020)
